shortcode,caption,is_target
CZL_6r-LFaK,잠시 후 시 야세로맨틱무브 무신사 라이브에서 만나요 완벽한 스타일을 완성하는 건 바로 신발 야세와 로맨틱무브 신발을 최대 특가로 만날 수 있는 무신사 라이브가 오늘 오후 시 무신사 앱에서 시작됩니다 야세 미니멀 스퀘어 더비 벨로 로맨틱무브 뉴탐페레 첼시 부츠 베이스먼트 더비 등 인기 아이템을 할인 혜택으로 만나보세요 라이브 방송 중에만 누릴 수 있는 추가 할인 쿠폰까지 놓칠 수 없겠죠 이뿐만이 아니에요 라이브 상품 구매 시 구매하신 브랜드에 따라 로맨틱무브 양말 또는 야세 비즈니스 컴포트 인솔을 사은품으로 드려요 여기에 하나 더 라이브 방송 중 채팅에 참여해 주시면 추첨을 통해 야세 벨로를 랜덤 사은품으로 드려요 모델 김성주 이정혜와 함께해 더욱 특별한 야세로맨틱무브 무신사 라이브 잠시 후 무신사 앱에서 만나요 무신사 무신사라이브 야세 로맨틱무브 야세벨로 야세더비 야세첼시부츠 로맨틱무브첼시부츠 로맨틱무브더비 더비슈즈 첼시부츠 집업부츠 스퀘어더비슈즈 스퀘어토부츠 야세슬리퍼 모델김성주 모델이정혜 배다영에디터 황혜인에디터,False
CYim6cGrday,스타일링 인스타 업로드 제품정보 나이키 미드라이즈 플리스 팬츠 나이키 오버사이즈 플리스 크루 나이키 아이콘클래쉬 세르파 재킷 제품은 카카오톡 매장으로 문의 부탁드립니다 나이키 압구정 자세한 매장 정보는 프로필 참고,False
CY5cCCbL4n4,응모기간 수 당첨발표 목 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 금 토 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CZvuabRP2VR,국내발매 훕씨티에서 나이키 덩크 로우 울프 그레이 화이트 제품 응모가 시작되었습니다 응모 링크는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 당첨 덩크 덩크로우,True
CYvh3SqLnml,사이즈 금액 원 매장안내 경기도 하남시 미사대로 스타필드 하남 층 나이키 농구 카이리 케빈듀란트 폴조지 르브론 조던 에어조던 하남 하남스타필드 훕드림 훕드림즈하남,False
CY_CQAwFApm,올 블랙 이지부스트 오닉스의 이미지가 새롭게 공개되었습니다 트리플 블랙 신더를 연상시키는 컬러웨이에 힐탭까지 붙어있다면 이건 치트키 디자인 올봄 아디다스를 비롯한 다양한 리테일샵에서 출시될 예정이니 슈프라이즈를 팔로우하고 업데이트되는 소식 빠르게 받아보세요 년 봄 한정판 신발의 전세계 발매정보를 에서 가장 빠르게 만나보세요 슈프라이즈 슈프라이즈 이지부스트 이지부스트 아디다스이지,False
CZyWodXlySX,게스만의 오리지널 감성이 느껴지는 컬렉션을 무신사에서 만나보세요 이번 컬렉션은 보다 감도있는 디자인과 이미지를 담아낸 오리지널 라인 아이템으로 구성했어요 특별한 패턴이 돋보이는 이번 시즌 잇템을 지금 바로 확인해 볼까요 무신사 게스 어센틱원웨이백팩 어센틱옵티마백팩 백팩 럭색 맨투맨 후드티 조거팬츠 후드집업 코치재킷 트랙재킷,False
CZLWu50Lfcr,궁극의 한국형 골프화 데상트 골프 단독 선발매 입소문만으로 약 만명의 골퍼들이 선택한 스파이크리스 골프화 이 업그레이드된 버전으로 돌아왔습니다 편안한 착화감과 뛰어난 퍼포먼스를 자랑하는 골프화 은 데상트 신발 센터의 연구와 개발을 통해 탄생했습니다 궁극의 한국형 골프화 을 신고 올봄 굿샷하세요 수 낮 시 발매 무신사골프 데상트골프 스파이크리스골프화 골프화 골프슈즈 신상품발매,False
CZOW754v5_o,응모가 종료 되었습니다 응모해 주셔서 감사합니다 응모기간 목 당첨발표 목 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 금 토 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 나이키 홍대 카카오톡 채널 친구 추가 확인 멤버 확인 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CY5i3Z1r9OZ,응모가 종료 되었습니다 응모해 주셔서 감사합니다 응모기간 수 당첨발표 목 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 금 토 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 나이키 홍대 카카오톡 채널 친구 추가 확인 멤버 확인 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
